LAYER,SYMBOL,COUNT,FEATURES,FONT,STYLE,COLOUR,SIZE,OFFSET,PLACEMENT,TEXTANCHOR,LABELANCHA
ATT-italic-black-height-12-tp-1,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0012 and text_place in (1),10.0,,,,,,,,,
ATT-italic-black-height-12-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0012 and text_place in (2),1.0,,,,,,,,,
ATT-italic-black-height-12-tp-31,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0012 and text_place in (31),2.0,,,,,,,,,
ATT-italic-black-height-12-tp-34-todo,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0012 and text_place in (34),1.0,,,,,,,,,
ATT-italic-black-height-13-tp-1,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0013 and text_place in (1),,,,,,,,,,
ATT-italic-black-height-13-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0013 and text_place in (2),,,,,,,,,,
ATT-italic-black-height-13-tp-8,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0013 and text_place in (8),,,,,,,,,,
ATT-italic-black-height-13-tp-31,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0013 and text_place in (31),,,,,,,,,,
ATT-italic-black-height-13-tp-32,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0013 and text_place in (32),,,,,,,,,,
ATT-italic-black-height-13-tp-34,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0013 and text_place in (34),13.0,,,,,,,,,
ATT-italic-black-height-14-tp-1,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (1),2911.0,place,ATTriumMou,Italic,Black,5.5,-0.75,AL,,
ATT-italic-black-height-14-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place = 2,666.0,place,ATTriumMou,Italic,Black,5.5,,OL,,
ATT-italic-black-height-14-tp-3,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place = 3,17.0,place,ATTriumMou,Italic,Black,5.5,-0.35,BL,,
ATT-italic-black-height-14-tp-4,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (4),,,,,,,,,,
ATT-italic-black-height-14-tp-5,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (5),,,,,,,,,,
ATT-italic-black-height-14-tp-6,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (6),,,,,,,,,,
ATT-italic-black-height-14-tp-7,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (7),,,,,,,,,,
ATT-italic-black-height-14-tp-8,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (8),,,,,,,,,,
ATT-italic-black-height-14-tp-9,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (9),,,,,,,,,,
ATT-italic-black-height-14-tp-12,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (12),,,,,,,,,,
ATT-italic-black-height-14-tp-31,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (31),,,,,,,,,,
ATT-italic-black-height-14-tp-32,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (32),,,,,,,,,,
ATT-italic-black-height-14-tp-34-todo,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (34),857.0,,,,,,,,,
ATT-italic-black-height-14-tp-35-todo,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (35),59.0,,,,,,,,,
ATT-italic-black-height-14-tp-37-todo,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0014 and text_place in (37),,,,,,,,,,
ATT-italic-black-height-17-tp-1,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (1),564.0,place,ATTriumMou,Italic,Black,6,-0.5,AL,,
ATT-italic-black-height-17-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (2),290.0,place,ATTriumMou,Italic,Black,6,,OL,,
ATT-italic-black-height-17-tp-3,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (3),,,,,,,,,,
ATT-italic-black-height-17-tp-4,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (4),,,,,,,,,,
ATT-italic-black-height-17-tp-5,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (5),,,,,,,,,,
ATT-italic-black-height-17-tp-7,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (7),,,,,,,,,,
ATT-italic-black-height-17-tp-31,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (31),,,,,,,,,,
ATT-italic-black-height-17-tp-32,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (32),,,,,,,,,,
ATT-italic-black-height-17-tp-34,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (34),,,,,,,,,,
ATT-italic-black-height-17-tp-35,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (35),,,,,,,,,,
ATT-italic-black-height-17-tp-36,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0017 and text_place in (36),,,,,,,,,,
ATT-italic-black-height-19-tp-1,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (1),640.0,place,ATTriumMou,Italic,Black,7,-0.75,AL,,
ATT-italic-black-height-19-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (2),277.0,place,ATTriumMou,Italic,Black,7,,OL,,
ATT-italic-black-height-19-tp-3,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (3),2.0,place,ATTriumMou,Italic,Black,7,-0.5,BL,,
ATT-italic-black-height-19-tp-5,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (5),,,,,,,,,,
ATT-italic-black-height-19-tp-7,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (7),24.0,,,,,,,,,
ATT-italic-black-height-19-tp-31,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (31),,,,,,,,,,
ATT-italic-black-height-19-tp-32,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (32),,,,,,,,,,
ATT-italic-black-height-19-tp-34,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (34),,,,,,,,,,
ATT-italic-black-height-19-tp-54,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0019 and text_place in (54),,,,,,,,,,
ATT-italic-black-height-22-tp-1,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0022 and text_place in (1),,,,,,,,,,
ATT-italic-black-height-22-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0022 and text_place in (2),,,,,,,,,,
ATT-italic-black-height-24-tp-1,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0024 and text_place in (1),288.0,,,,,,,,,
ATT-italic-black-height-24-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0024 and text_place in (2),163.0,,,,,,,,,
ATT-italic-black-height-24-tp-7,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0024 and text_place in (7),,,,,,,,,,
ATT-italic-black-height-24-tp-12,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0024 and text_place in (12),,,,,,,,,,
ATT-italic-black-height-24-tp-31,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0024 and text_place in (31),,,,,,,,,,
ATT-italic-black-height-24-tp-32,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0024 and text_place in (32),,,,,,,,,,
ATT-italic-black-height-24-tp-34,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0024 and text_place in (34),,,,,,,,,,
ATT-italic-black-height-24-tp-35,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0024 and text_place in (35),,,,,,,,,,
ATT-italic-black-height-29-tp-1,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0029 and text_place in (1),,,,,,,,,,
ATT-italic-black-height-29-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0029 and text_place in (2),29.0,,,,,,,,,
ATT-italic-black-height-29-tp-32,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0029 and text_place in (32),,,,,,,,,,
ATT-italic-black-height-29-tp-35,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0029 and text_place in (35),,,,,,,,,,
ATT-italic-black-height-34-tp-2,text_font = ATTriumMou-Italic and text_colour = 9 and text_height = 0.0034 and text_place in (2),16.0,,,,,,,,,
ATT-italic-blue-height-12-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0012 and text_place in (1),4.0,,,,,,,,,
ATT-italic-blue-height-12-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0012 and text_place in (2),4.0,,,,,,,,,
ATT-italic-blue-height-12-tp-34-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0012 and text_place in (34),5.0,,,,,,,,,
ATT-italic-blue-height-13-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0013 and text_place in (1),58.0,,,,,,,,,
ATT-italic-blue-height-13-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0013 and text_place in (2),62.0,,,,,,,,,
ATT-italic-blue-height-13-tp-3,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0013 and text_place in (3),4.0,,,,,,,,,
ATT-italic-blue-height-13-tp-31-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0013 and text_place in (31),2.0,,,,,,,,,
ATT-italic-blue-height-13-tp-32-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0013 and text_place in (32),6.0,,,,,,,,,
